id;title;description;expense_date;submitted_by;amount;created_by;created_date;last_modified_by;last_modified_date;deleted_on
1;while since gosh;boo around meh;2025-05-31T23:52:01;when;13996.92;outlying;2025-05-31T10:46:40;times;2025-05-31T14:33:15;2025-06-01T01:41:18
2;oh sightseeing;ruin;2025-05-31T23:03:30;whenever;16859.86;alongside design pip;2025-06-01T00:24:45;everlasting unlined onto;2025-05-31T20:36:11;2025-06-01T00:10:36
3;till flood;profane um;2025-05-31T12:16:45;mammoth;6020.67;creak plus before;2025-06-01T04:16:55;gee;2025-05-31T14:57:44;2025-06-01T07:22:55
4;eulogise fill;interviewer meanwhile;2025-05-31T12:03:39;eminent till;29735.59;happily quaff willfully;2025-05-31T11:54:49;um snarling;2025-05-31T17:39:25;2025-06-01T02:58:48
5;surge design pinion;mid safely;2025-05-31T21:38:52;draft furthermore;16881.88;far-flung gee;2025-05-31T09:13:52;ick;2025-05-31T13:57:52;2025-05-31T12:00:56
6;readily;pave hopelessly well-to-do;2025-05-31T22:58:05;disposer;28262.25;however complicated unwilling;2025-05-31T14:21:32;liberalize;2025-05-31T11:47:02;2025-05-31T17:28:32
7;provided dreamily where;tiny skean;2025-06-01T02:54:03;give sate enthusiastically;31662.66;toward;2025-05-31T11:52:30;distorted mechanic meanwhile;2025-05-31T19:21:20;2025-05-31T11:22:10
8;ick eek;aha impostor bashfully;2025-05-31T20:03:42;mispronounce dispense gadzooks;13495.39;phooey potentially downshift;2025-05-31T18:51:18;about;2025-06-01T05:18:40;2025-06-01T01:39:43
9;thick;jam-packed;2025-05-31T15:42:52;supposing pish instead;124.22;term;2025-05-31T14:44:39;huff;2025-05-31T19:10:16;2025-05-31T14:57:06
10;though unbearably;by loftily;2025-05-31T23:43:11;um;16480.2;phew;2025-06-01T07:10:16;offend;2025-06-01T06:22:58;2025-05-31T23:58:10
