id;title;description;amount_collected;amount_collected_by;amount_collected_on;paid_by;created_by;created_date;last_modified_by;last_modified_date;deleted_on
1;immense politely;geez jam-packed eek;6821.54;given;2025-06-01T05:36:22;aha who whereas;needily sleepily accept;2025-06-01T04:24:42;interestingly redevelop;2025-06-01T05:17:20;2025-06-01T08:07:42
2;like aw;imaginary grouchy;23677.99;eyeglasses pinion husky;2025-06-01T06:46:43;lashes;less absent switch;2025-05-31T20:32:04;hundred;2025-06-01T05:35:25;2025-05-31T20:14:30
3;massage puritan innocently;who recklessly;32454.97;obediently;2025-05-31T18:10:03;adventurously as unimpressively;that;2025-06-01T01:19:18;buzzing calculating coaxingly;2025-06-01T05:15:48;2025-05-31T12:03:29
4;magnificent wildly;finally;31344.69;request;2025-05-31T21:03:44;short ultimately;fooey abaft;2025-05-31T17:50:48;rebuild wisely;2025-05-31T09:54:42;2025-05-31T22:42:06
5;save ack dally;ack;10010.37;phew;2025-05-31T15:44:13;swerve made-up freezing;um ack oxidize;2025-05-31T15:35:14;faraway an;2025-05-31T16:03:05;2025-05-31T21:37:53
6;unlike consequently;litter via;13382.83;mount um since;2025-05-31T23:42:53;keenly;yogurt private bowler;2025-06-01T08:31:49;kinase self-confidence;2025-05-31T20:31:03;2025-06-01T06:03:31
7;joyously;baggy sometimes aside;13414.99;grounded how reproachfully;2025-06-01T01:40:54;demonstrate atomize past;knavishly;2025-06-01T03:26:34;efface mantua;2025-06-01T05:50:56;2025-06-01T00:26:01
8;whereas import upliftingly;brightly;962.49;around boulevard;2025-06-01T01:13:16;within;truthfully outside ick;2025-06-01T04:44:46;ownership;2025-06-01T05:55:04;2025-05-31T21:39:25
9;oof facilitate;every likely frivolous;21195.69;next woefully;2025-05-31T12:32:37;but;quicker;2025-06-01T01:53:48;hm;2025-06-01T01:47:18;2025-06-01T01:52:18
10;sadly reschedule;handy;22760.22;whereas;2025-06-01T06:07:58;woot;truthfully sneaky;2025-05-31T23:26:35;sleepy;2025-06-01T07:05:24;2025-05-31T17:13:13
