id;title;description;amount;is_recurring;due_date;configured_by;created_by;created_date;last_modified_by;last_modified_date;deleted_on
1;generally inasmuch ouch;ew;23257.97;false;2025-06-01;minus;over yahoo;2025-05-31T08:43:24;culminate inside out;2025-06-01T06:51:23;2025-06-01T03:12:04
2;culminate digestive;mostly pace;10282.32;false;2025-05-31;smarten gastropod;focused;2025-05-31T12:32:40;nauseate anxiously once;2025-06-01T00:02:50;2025-06-01T04:35:13
3;against good-natured;dicker;18142.55;true;2025-05-31;perfectly;sticker;2025-06-01T00:24:02;worthy;2025-05-31T19:21:40;2025-06-01T08:09:32
4;needily gerbil;certainly after;14679.8;false;2025-05-31;if willing;ick hexagon;2025-05-31T14:21:09;but;2025-05-31T19:02:02;2025-06-01T02:38:48
5;happily unless;for underneath more;22761.58;false;2025-06-01;noisily deduct;moralise because around;2025-05-31T10:47:33;afore;2025-05-31T20:57:39;2025-05-31T08:45:21
6;rust key;vicinity;32151.81;false;2025-05-31;woot outside reproachfully;plus distinct;2025-06-01T08:24:11;spork tectonics;2025-06-01T06:26:55;2025-05-31T08:52:37
7;per convoke godfather;meanwhile;18825.24;false;2025-06-01;requirement which lightly;gee gee into;2025-06-01T06:18:57;grounded navigate casement;2025-06-01T01:43:41;2025-05-31T16:12:32
8;whenever snappy afore;phew prickly circa;6953.59;true;2025-05-31;recount amidst dishearten;though;2025-06-01T00:49:31;before upwardly that;2025-06-01T00:40:34;2025-05-31T12:07:50
9;nauseate since scrabble;yahoo hairy;12521.19;true;2025-05-31;hype;gymnast agreeable;2025-05-31T17:09:50;boo rim tensely;2025-05-31T10:46:54;2025-05-31T11:02:59
10;mount parade so;except milestone yahoo;12563.26;false;2025-05-31;tattered import curiously;claw;2025-06-01T08:27:06;astride hm;2025-06-01T02:21:22;2025-05-31T18:21:35
