id;title;discount_start_date;discount_end_date;discount;created_by;created_date;last_modified_by;last_modified_date;deleted_date
1;heavenly gestate tank;2025-06-01T05:11:20;2025-05-31T16:13:17;22302.75;certification;2025-05-31T14:32:22;apropos sharply;2025-06-01T02:17:52;2025-05-31T10:58:04
2;absent hourly;2025-06-01T07:42:40;2025-05-31T17:03:50;3.29;sedately;2025-06-01T06:56:52;for recent astride;2025-05-31T12:26:26;2025-05-31T17:12:30
3;oh;2025-05-31T12:55:09;2025-05-31T13:58:08;32639.85;fortunate oddly accredit;2025-06-01T03:29:16;simple hm drowse;2025-06-01T04:01:26;2025-05-31T10:19:45
4;the opposite refer;2025-05-31T14:22:21;2025-05-31T08:59:14;25604.57;pendant;2025-05-31T11:21:36;pro;2025-06-01T05:02:11;2025-05-31T14:39:52
5;phooey;2025-05-31T17:17:52;2025-05-31T20:46:19;14905.7;among;2025-06-01T03:10:20;not;2025-05-31T18:25:34;2025-06-01T08:07:38
6;ultimate against hovel;2025-06-01T02:05:50;2025-05-31T11:21:15;14769.25;rival pliers sans;2025-05-31T18:55:19;navigate;2025-05-31T20:02:15;2025-05-31T13:35:46
7;consequently;2025-06-01T01:36:23;2025-05-31T10:03:19;2237.9;bloom tensely weakly;2025-06-01T04:52:13;league split;2025-05-31T20:59:32;2025-06-01T01:51:48
8;distinct pfft;2025-05-31T21:20:41;2025-05-31T23:35:46;15200.82;until;2025-06-01T07:11:35;meh;2025-05-31T16:06:12;2025-06-01T07:21:32
9;rejoin expensive;2025-05-31T21:35:55;2025-05-31T22:14:20;31024.71;expense narrate;2025-05-31T08:46:52;and noisily;2025-05-31T10:20:01;2025-05-31T12:45:45
10;gee proper impartial;2025-06-01T04:03:14;2025-05-31T14:35:00;14281.35;gah manipulate;2025-05-31T16:22:59;effector;2025-06-01T07:31:37;2025-06-01T05:08:16
