id;commission_month;commission_year;commission_amount;commission_paid_on;commission_paid_by;phone_number;created_by;created_date;last_modified_by;last_modified_date;deleted_on
1;6742;18036;25924.53;2025-05-31T09:02:01;wherever fold unlike;generously depute gape;edge hmph;2025-06-01T01:34:16;lest fooey;2025-05-31T23:12:38;2025-05-31T17:33:45
2;7040;2267;2876.47;2025-05-31T18:53:01;whenever decision solidly;sightseeing hm zowie;ectoderm adventurously instead;2025-06-01T03:40:44;from vibraphone;2025-05-31T09:01:34;2025-06-01T00:39:04
3;22008;10777;4931.81;2025-06-01T05:00:04;absentmindedly;deflate parade;woot loyalty down;2025-05-31T14:26:12;at quizzically boyfriend;2025-06-01T05:01:12;2025-05-31T20:30:36
4;27961;32600;2305.75;2025-05-31T21:28:51;beside;cop extension;freckle oddly;2025-06-01T03:08:44;atop towards;2025-06-01T05:58:58;2025-06-01T05:01:49
5;20540;2446;3413.93;2025-05-31T15:32:54;hm efface;showboat;treasure;2025-05-31T19:14:10;profitable;2025-05-31T21:37:31;2025-05-31T09:56:38
6;17562;2914;32648.02;2025-06-01T01:00:08;oh cheerfully soon;since distorted whether;thyme urgently piglet;2025-05-31T21:08:56;lone;2025-06-01T01:15:07;2025-05-31T22:14:12
7;30655;7697;836.77;2025-06-01T02:27:24;imagineer between;mortally ha;muddy;2025-05-31T11:47:08;above before;2025-05-31T22:02:27;2025-05-31T19:14:19
8;9321;7586;28611.69;2025-05-31T19:28:55;loftily jogging;wordy;nor courageously;2025-06-01T08:40:41;wetly;2025-05-31T21:39:19;2025-06-01T03:36:18
9;30179;15612;14435.31;2025-06-01T02:23:47;positively privilege lest;yippee;of bah uh-huh;2025-06-01T07:23:56;and slather;2025-06-01T03:50:55;2025-06-01T08:34:34
10;13760;24912;22840.59;2025-05-31T12:41:54;indeed deliberately uh-huh;justly brand;hm;2025-06-01T02:21:29;enormously premise;2025-05-31T12:51:41;2025-05-31T21:18:47
